objects_actual,fifo_miss_ratio,lru_miss_ratio,sieve_miss_ratio,sieve_vs_fifo_percent,sieve_vs_lru_percent
7767,0.476,0.4421,0.3816,19.83193277310924,13.684686722460981
7770,0.4756,0.4416,0.3806,19.974768713204377,13.81340579710145
7779,0.4766,0.4426,0.3818,19.890893831305085,13.73700858563037
7795,0.4756,0.4417,0.3806,19.974768713204377,13.832918270319219
7796,0.4746,0.4406,0.38,19.93257479983144,13.753971856559236
7804,0.4761,0.4422,0.3816,19.84877126654065,13.704206241519673
7820,0.4767,0.4427,0.3812,20.03356408642753,13.892026202846171
7821,0.4765,0.4424,0.3819,19.853095487932837,13.675406871609402
7827,0.4744,0.4405,0.3803,19.835581787521072,13.666288308740063
7829,0.4747,0.4409,0.3799,19.97050768906678,13.835336811068268
7834,0.4756,0.4416,0.3806,19.974768713204377,13.81340579710145
7835,0.4759,0.4419,0.3819,19.752048749737334,13.57773251866938
7874,0.4753,0.4412,0.3809,19.861140332421627,13.667271078875787
7876,0.4757,0.4418,0.3811,19.8864830775699,13.739248528746046
8525,0.6238,0.5936,0.5195,16.720102596986223,12.483153638814025
8533,0.6235,0.5932,0.5186,16.824378508420224,12.575859743762644
8537,0.6241,0.5939,0.5192,16.808203813491428,12.577875063141942
8538,0.6247,0.5943,0.5208,16.631983352008962,12.36749116607774
8543,0.6249,0.5944,0.519,16.946711473835812,12.68506056527591
8546,0.6247,0.5945,0.5194,16.856090923643357,12.632464255677048
8549,0.6272,0.5968,0.522,16.772959183673464,12.53351206434316
8556,0.6249,0.5947,0.5207,16.674667946871494,12.44324869682192
8557,0.6236,0.5934,0.5187,16.821680564464398,12.588473205257833
8581,0.6263,0.5962,0.5213,16.76512853265208,12.562898356256285
8582,0.6249,0.5945,0.52,16.786685869739156,12.531539108494535
8587,0.6247,0.5946,0.5204,16.696014086761654,12.478977463841245
8589,0.6261,0.5961,0.522,16.62673694298035,12.430800201308497
8591,0.6256,0.5953,0.5202,16.847826086956527,12.615487989249127
8598,0.6245,0.5942,0.5194,16.8294635708567,12.588354089532142
8599,0.6243,0.5941,0.5204,16.64263975652731,12.405318969870391
8605,0.6244,0.5942,0.5203,16.67200512491992,12.436889936048463
8617,0.624,0.5938,0.5194,16.762820512820518,12.529471202425063
8702,0.4755,0.4417,0.3821,19.642481598317556,13.49332125877292
8717,0.4758,0.4421,0.3813,19.86128625472888,13.752544673150876
8720,0.4749,0.4411,0.3808,19.814697831122334,13.670369530718652
8722,0.4751,0.4413,0.3814,19.72216375499895,13.573532744164968
8728,0.4746,0.4408,0.3813,19.65865992414666,13.498185117967342
8737,0.4759,0.4421,0.3821,19.710023114099602,13.571590137977832
8763,0.474,0.4402,0.3802,19.78902953586498,13.630168105406634
8769,0.4735,0.4393,0.3792,19.915522703273496,13.68085590712498
8776,0.473,0.439,0.3793,19.809725158562358,13.599088838268786
8779,0.4738,0.4398,0.3797,19.860700717602366,13.665302410186458
8795,0.4742,0.4402,0.3797,19.928300295234084,13.743752839618356
8797,0.4746,0.4407,0.3804,19.848293299620735,13.68277739959155
8808,0.474,0.4399,0.3796,19.91561181434599,13.70766083200728
8821,0.4769,0.4428,0.382,19.89934996854686,13.730803974706419
8834,0.4746,0.4407,0.3803,19.86936367467341,13.705468572725199
8836,0.4734,0.4392,0.3789,19.96197718631178,13.729508196721305
8837,0.4747,0.4407,0.3811,19.71771645249632,13.523939187656001
8843,0.4743,0.4402,0.3804,19.79759645793801,13.584734211721939
8847,0.4746,0.4406,0.3807,19.785082174462712,13.595097594189742
8859,0.4756,0.4416,0.3812,19.84861227922625,13.67753623188406
9239,0.4734,0.4394,0.3795,19.835234474017742,13.63222576240328
9324,0.4729,0.439,0.3786,19.940790864876295,13.758542141230071
9329,0.4749,0.4408,0.3806,19.856811960412717,13.656987295825779
9369,0.4741,0.44,0.3804,19.763762919215356,13.545454545454541
9372,0.4757,0.4416,0.3809,19.928526382173636,13.74547101449275
9393,0.4757,0.4417,0.3821,19.67626655455119,13.49332125877292
9402,0.4744,0.4406,0.381,19.68802698145025,13.527008624602813
9410,0.4745,0.4405,0.3808,19.747102212855626,13.552780930760495
9412,0.4748,0.4409,0.381,19.755686604886264,13.585847130868679
9416,0.4729,0.4392,0.3798,19.687037428631836,13.524590163934416
9421,0.4749,0.4409,0.3809,19.793640766477147,13.608528010886822
9437,0.4738,0.4397,0.3803,19.73406500633178,13.509210825562873
9438,0.474,0.4401,0.3807,19.68354430379747,13.496932515337425
9446,0.4733,0.4395,0.3796,19.797168814705262,13.629124004550627
9447,0.4758,0.4418,0.3815,19.8192517864649,13.64870982344953
9449,0.4754,0.4414,0.3816,19.730753050063104,13.547802446760313
9451,0.4737,0.4399,0.38,19.78045176271902,13.616731075244376
9453,0.4733,0.4394,0.3797,19.776040566237064,13.586709148839333
9479,0.4737,0.4397,0.38,19.78045176271902,13.577439163065721
9540,0.4743,0.4403,0.3815,19.56567573265865,13.354531001589828
9673,0.7593,0.7388,0.6702,11.734492295535356,9.28532755820249
9681,0.7615,0.7409,0.672,11.75311884438607,9.29950060736941
9688,0.7614,0.7408,0.6728,11.636459154189653,9.179265658747308
9695,0.7607,0.7403,0.6723,11.62087550939924,9.185465351884364
9696,0.7604,0.7399,0.6709,11.770120988953172,9.325584538451135
9698,0.7603,0.7395,0.6709,11.758516375115075,9.27653820148749
9703,0.7629,0.7423,0.6746,11.574256127932893,9.120301764785125
9704,0.76,0.7392,0.6716,11.631578947368425,9.145021645021645
9707,0.761,0.7405,0.6717,11.734559789750335,9.291019581363955
9710,0.76,0.7392,0.6707,11.750000000000007,9.266774891774892
9712,0.7607,0.74,0.6705,11.857499671355336,9.391891891891893
9714,0.7607,0.7401,0.6713,11.752333377152627,9.29604107553033
9718,0.7615,0.7409,0.673,11.621799080761644,9.164529626130378
9720,0.7607,0.7403,0.6729,11.542000788747204,9.104417128191262
9725,0.7604,0.7396,0.6712,11.730668069437131,9.248242293131424
9731,0.7615,0.7406,0.6711,11.871306631648054,9.384283013772617
9736,0.7606,0.7399,0.6704,11.859058637917439,9.393161238005137
9786,0.4734,0.4395,0.3797,19.792986903253066,13.606370875995456
9813,0.4749,0.441,0.3823,19.498841861444518,13.31065759637189
9832,0.4754,0.4416,0.3816,19.730753050063104,13.586956521739129
9853,0.474,0.4402,0.3809,19.641350210970458,13.471149477510217
9860,0.4756,0.4418,0.3826,19.554247266610602,13.399728383884115
9864,0.4747,0.441,0.382,19.528123025068464,13.378684807256235
9870,0.4735,0.4397,0.3807,19.5987328405491,13.418239708892427
9897,0.4742,0.4405,0.3813,19.59088991986504,13.439273552780936
9902,0.4747,0.4409,0.3812,19.696650516115447,13.540485370832394
9915,0.4759,0.4421,0.383,19.520907753729773,13.368016285908164
9929,0.8445,0.8339,0.7896,6.500888099467147,5.312387576448016
9935,0.4752,0.4413,0.3819,19.63383838383838,13.460231135282122
9945,0.8455,0.8349,0.7918,6.351271437019525,5.162294885615047
9948,0.8444,0.8337,0.791,6.324017053529134,5.121746431570105
9949,0.8446,0.8341,0.7932,6.0857210513852715,4.903488790312905
9950,0.4739,0.4404,0.3804,19.729900822958424,13.623978201634875
9953,0.7213,0.703,0.6544,9.274920282822691,6.9132290184921725
9954,0.8441,0.8335,0.7902,6.385499348418428,5.194961007798441
9955,0.8447,0.8342,0.7912,6.3336095655262215,5.154639175257737
9956,0.8443,0.8338,0.7906,6.36029847210708,5.181098584792519
9957,0.844,0.8332,0.7891,6.504739336492885,5.292846855496883
9958,0.8436,0.833,0.7914,6.187766714082507,4.993997599039613
9959,0.8445,0.834,0.7908,6.358792184724699,5.179856115107915
9960,0.844,0.8334,0.7895,6.457345971563981,5.267578593712509
9962,0.8444,0.8338,0.7917,6.241117953576513,5.049172463420488
9963,0.6599,0.6377,0.5865,11.12289740869829,8.028853692959075
9964,0.8442,0.8336,0.7911,6.289978678038372,5.098368522072935
9965,0.8442,0.8335,0.7904,6.372897417673533,5.170965806838635
9975,0.4755,0.4416,0.3822,19.621451104100945,13.45108695652174
9976,0.4762,0.4425,0.3832,19.529609407811847,13.401129943502829
9981,0.4769,0.4434,0.3836,19.56384986370308,13.486693730266131
9990,0.8815,0.8777,0.8614,2.2802041973907996,1.8571265808362745
9991,0.8824,0.8785,0.8625,2.2552130553037077,1.8212862834376669
9992,0.8821,0.8781,0.8609,2.403355628613536,1.9587746270356445
9993,0.8823,0.8784,0.8616,2.3461407684461,1.9125683060109206
9994,0.8826,0.8787,0.8627,2.254702016768641,1.82087174234665
9995,0.8817,0.8777,0.8612,2.325053873199509,1.8799134100489996
9996,0.8852,0.882,0.8686,1.8752824220515079,1.5192743764172298
9997,0.8865,0.8837,0.8718,1.6582064297800267,1.3466108407830735
9998,0.8954,0.8946,0.8916,0.42439133348224545,0.3353454057679413
